9 0 0 499 516 0 0 0 983 41 0 0 950 74 |480 144 192 127 37 32 6 6 212 620 192 512 458 54 |577 200 146 101 0 0 0 0 496 528 0 0 831 193 |54 970 0 0 0 0 0 0 0 644 380 537 487 0 |985 627 1352 2536 372 264 8 0 5239 905 0 0 2044 4100 |3209 676 598 1047 389 142 40 43 3771 2107 266 1735 3249 1160 |3473 1045 996 360 1 189 51 29 1789 4293 62 891 4423 830 |3017 1578 339 1125 80 5 0 0 3028 3112 4 589 4373 1182 |5392 4007 1764 868 4 121 56 76 5378 6524 386 854 10353 1081 |6327 2887 1577 731 254 209 173 130 4636 6909 743 2359 7962 1967 |6558 3215 1319 923 267 3 3 0 3390 8455 443 1026 9805 1457 |6438 3459 1418 542 56 181 86 108 4464 7391 433 1734 8704 1850 |
82 0 101 388 338 109 6 0 1024 0 0 0 45 979 |17 0 910 97 0 0 0 0 13 994 17 40 984 0 |121 29 143 676 50 4 0 1 1004 20 0 600 397 27 |100 0 688 236 0 0 0 0 3 1004 17 101 923 0 |602 987 1642 2107 282 492 31 1 6135 9 0 1792 1662 2690 |768 777 3769 786 44 0 0 0 2075 4061 8 87 5233 824 |706 444 4576 418 0 0 0 0 128 5937 79 405 5732 7 |1815 765 1464 940 163 859 68 70 1862 3839 443 2009 3489 646 |7690 2127 1403 501 81 409 42 35 6184 6031 73 771 9054 2463 |4396 2094 4395 824 26 504 26 23 2840 9361 87 966 10355 967 |7720 2241 1566 595 87 43 15 21 5592 6627 69 1272 8648 2368 |5253 2822 2329 795 106 945 23 15 2402 9385 501 2894 8719 675 |
731 129 63 77 0 8 10 6 316 652 56 761 263 0 |323 125 159 366 23 19 5 4 560 431 33 761 263 0 |537 445 9 0 0 0 9 24 218 609 197 463 493 68 |882 55 41 11 0 2 16 17 265 730 29 1018 6 0 |4687 730 339 300 62 2 7 17 2081 3950 113 2316 3430 398 |4556 340 382 747 5 48 48 18 664 4931 549 4273 1864 7 |4589 396 274 831 0 11 29 14 1792 4096 256 2551 3593 0 |4836 727 259 163 44 82 20 13 1172 4681 291 2270 3240 634 |3170 2099 2677 2949 400 876 68 49 5246 6379 663 3402 7578 1308 |3879 1606 2604 4151 17 2 7 22 4618 6664 1006 3450 7861 977 |4797 2124 2638 1042 823 776 49 39 7046 4753 489 1572 6425 4291 |7426 2207 2081 349 5 98 70 52 4868 6873 547 2920 7491 1877 |
399 32 52 177 41 313 9 1 790 215 19 687 268 69 |33 4 36 945 6 0 0 0 49 873 102 360 664 0 |143 49 35 109 26 578 70 14 1023 1 0 11 226 787 |40 76 98 803 7 0 0 0 96 772 156 804 220 0 |916 2612 723 629 250 965 34 15 4630 1481 33 344 4314 1486 |2995 416 56 212 21 2069 212 163 3014 2961 169 3008 2537 599 |177 135 1416 4353 44 19 0 0 749 4952 443 1497 4633 14 |1820 1933 1083 558 18 586 96 50 1614 3931 599 3314 2567 263 |6207 2510 2110 219 122 751 214 155 5038 6780 470 4200 6755 1333 |6433 1477 2342 475 57 956 305 243 4881 6875 532 6222 5561 505 |7110 2034 1797 379 16 681 164 107 5336 6659 293 3429 7764 1095 |3168 2838 5354 505 2 175 146 100 4321 7115 852 3759 7700 829 |
31 0 291 702 0 0 0 0 209 807 8 99 918 7 |1 0 54 969 0 0 0 0 6 1018 0 0 1018 6 |13 41 824 122 24 0 0 0 736 288 0 195 655 174 |7 0 2 1015 0 0 0 0 0 1024 0 0 1018 6 |129 58 3912 2005 3 37 0 0 4029 2061 54 1304 3749 1091 |93 1295 3049 1707 0 0 0 0 4349 1787 8 916 5215 13 |2 0 17 6125 0 0 0 0 33 6109 2 0 6042 102 |303 134 3864 1830 3 8 2 0 5081 1063 0 61 5164 919 |702 2594 7621 1330 0 8 13 20 10829 1440 19 3162 9029 97 |988 2736 5113 3450 0 1 0 0 8452 3823 13 2794 9343 151 |508 2287 5522 3970 1 0 0 0 11544 740 4 1620 9300 1368 |156 1998 5666 4468 0 0 0 0 8393 3892 3 1594 9530 1164 |
46 13 1 6 35 914 5 4 1024 0 0 0 376 648 |213 169 618 23 1 0 0 0 43 808 173 452 572 0 |0 0 0 0 0 1024 0 0 941 83 0 0 878 146 |299 420 98 72 45 73 13 4 339 481 204 412 592 20 |397 184 170 47 41 5247 50 8 6074 70 0 0 1484 4660 |3170 1158 744 229 15 699 72 57 2274 3573 297 1443 4174 527 |4023 338 1294 220 75 153 19 22 853 5055 236 4287 1820 37 |1962 1706 1844 301 93 229 4 5 2938 2886 320 1885 3795 464 |4213 4694 2677 99 17 495 50 43 3165 7926 1197 2148 7046 3094 |8831 1541 1016 479 60 230 65 66 1406 9260 1622 7354 4602 332 |3796 3487 4193 142 51 569 25 25 3969 6687 1632 3071 6687 2530 |7253 2583 1449 669 69 134 55 76 2782 7871 1635 6526 5219 543 |
1018 6 0 0 0 0 0 0 701 322 1 50 974 0 |902 0 7 57 0 12 14 32 237 753 34 1024 0 0 |861 90 41 8 0 0 5 19 467 552 5 849 175 0 |1014 3 3 2 0 0 0 2 18 991 15 676 348 0 |6057 87 0 0 0 0 0 0 3187 2952 5 1175 4969 0 |5518 129 80 88 66 51 33 179 3167 2789 188 2365 3456 323 |5398 7 72 414 0 104 79 70 1576 4334 234 6016 128 0 |5617 70 97 149 0 35 100 76 1891 4207 46 3188 2956 0 |10586 1340 31 16 11 159 37 108 8343 3853 92 808 10378 1102 |10808 1351 117 0 0 0 0 12 3871 8094 323 3662 7892 734 |11294 683 28 7 0 6 82 188 6155 6039 94 2857 8738 693 |11102 920 29 0 0 4 10 223 3438 8683 167 4425 7252 611 |
57 6 0 2 0 856 65 38 339 673 12 784 240 0 |790 17 0 0 0 195 9 13 571 453 0 798 70 156 |0 0 0 1024 0 0 0 0 1024 0 0 1024 0 0 |873 40 7 0 0 0 0 104 149 875 0 976 44 4 |5016 121 186 507 0 220 42 52 3191 2907 46 5407 731 6 |4360 598 49 18 21 822 152 124 3444 2387 313 1759 3177 1208 |3788 1087 72 34 15 1037 54 57 3462 2592 90 2006 2905 1233 |5556 65 15 136 0 0 8 364 1468 4669 7 5943 168 33 |4019 3955 3604 98 34 515 30 33 3685 7993 610 3520 8223 545 |4324 5565 776 85 129 1340 34 35 2984 8896 408 1473 8632 2183 |6759 3373 2049 0 0 0 5 102 3011 8765 512 6083 6199 6 |5877 5339 868 69 40 50 13 32 2069 9541 678 3494 8380 414 |
23 81 809 9 3 98 1 0 526 498 0 0 292 732 |1024 0 0 0 0 0 0 0 0 94 930 244 780 0 |108 26 179 569 8 119 15 0 877 133 14 1016 8 0 |315 701 8 0 0 0 0 0 612 412 0 737 283 4 |3558 671 811 847 0 205 24 28 3778 2365 1 3038 2113 993 |4444 2 0 1 0 1607 50 40 2714 394 3036 459 5074 611 |4835 1109 170 26 0 0 0 4 1816 3921 407 4702 1398 44 |2626 1493 576 318 63 800 158 110 3753 2354 37 3143 2316 685 |7184 1265 315 779 38 2434 181 92 5273 6554 461 6878 4004 1406 |10408 725 372 642 3 108 10 20 2894 8274 1120 9509 2611 168 |8081 3292 592 89 0 153 49 32 2873 8906 509 5100 6408 780 |7814 4065 88 64 0 202 40 15 3292 8185 811 6049 5261 978 |
23 49 37 717 1 196 1 0 1024 0 0 0 63 961 |177 847 0 0 0 0 0 0 0 1012 12 12 1008 4 |58 108 484 374 0 0 0 0 618 349 57 691 304 29 |68 956 0 0 0 0 0 0 0 1024 0 2 1022 0 |360 1351 3097 1140 20 174 2 0 5492 627 25 739 4227 1178 |1745 1203 2205 274 0 229 406 82 4249 1845 50 592 4600 952 |460 5654 30 0 0 0 0 0 8 6131 5 0 6115 29 |2837 669 1547 702 0 23 171 195 2849 2966 329 3169 2770 205 |3395 2809 6028 18 0 18 13 7 9897 2384 7 612 10197 1479 |7318 2596 1103 12 0 101 496 662 6970 5263 55 1239 10383 666 |3727 1408 6094 1043 0 3 7 6 8650 3582 56 3876 8013 399 |7603 2346 1110 13 0 191 502 523 6884 5263 141 1853 9870 565 |
